ID,Имя,link,МКБ-10
218_2,Гонококковая инфекция,https://cr.minzdrav.gov.ru/view-cr/218_2,A54 Гонококковая инфекция
679_2,Аногенитальная герпетическая вирусная инфекция,https://cr.minzdrav.gov.ru/view-cr/679_2,A60 Аногенитальная герпетическая вирусная инфекция [herpes simplex]
717_2,ВИЧ-инфекция у беременных,https://cr.minzdrav.gov.ru/view-cr/717_2,"B20 Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ], проявляющаяся в виде инфекционных и паразитарных болезней"
717_2,ВИЧ-инфекция у беременных,https://cr.minzdrav.gov.ru/view-cr/717_2,"B21 Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ], проявляющаяся в виде злокачественных новообразований"
717_2,ВИЧ-инфекция у беременных,https://cr.minzdrav.gov.ru/view-cr/717_2,"B22 Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ], проявляющаяся в виде других уточненных болезней"
717_2,ВИЧ-инфекция у беременных,https://cr.minzdrav.gov.ru/view-cr/717_2,"B23 Болезнь, вызванная вирусом иммунодефицита человека  [ВИЧ], проявляющаяся в виде других состояний"
717_2,ВИЧ-инфекция у беременных,https://cr.minzdrav.gov.ru/view-cr/717_2,"B24 Болезнь, вызванная вич, неуточненная"
346_2,Пограничные опухоли яичников,https://cr.minzdrav.gov.ru/view-cr/346_2,C56 Зно яичника
139_2,Лимфома Ходжкина,https://cr.minzdrav.gov.ru/view-cr/139_2,C81 Болезнь Ходжкина [лимфогранулематоз]
266_2,Солитарная (экстрамедуллярная) плазмоцитома,https://cr.minzdrav.gov.ru/view-cr/266_2,C90.2 Плазмоцитома экстрамедуллярная
266_2,Солитарная (экстрамедуллярная) плазмоцитома,https://cr.minzdrav.gov.ru/view-cr/266_2,C90.3 Одиночная плазмоцитома
346_2,Пограничные опухоли яичников,https://cr.minzdrav.gov.ru/view-cr/346_2,D39.1 Новообразования неопределенного или неизвестного характера яичника
669_2,Железодефицитная анемия,https://cr.minzdrav.gov.ru/view-cr/669_2,D50 Железодефицитная анемия
669_2,Железодефицитная анемия,https://cr.minzdrav.gov.ru/view-cr/669_2,D50.0 Железодефицитная анемия вторичная вследствие потери крови (хроническая)
669_2,Железодефицитная анемия,https://cr.minzdrav.gov.ru/view-cr/669_2,D50.1 Сидеропеническая дисфагия
669_2,Железодефицитная анемия,https://cr.minzdrav.gov.ru/view-cr/669_2,D50.8 Другие железодефицитные анемии
669_2,Железодефицитная анемия,https://cr.minzdrav.gov.ru/view-cr/669_2,D50.9 Железодефицитная анемия неуточненная
536_3,Витамин-В12-дефицитная анемия,https://cr.minzdrav.gov.ru/view-cr/536_3,D51.0 Витамин-в12-дефицитная анемия вследствие дефицита внутреннего фактора
536_3,Витамин-В12-дефицитная анемия,https://cr.minzdrav.gov.ru/view-cr/536_3,D51.1 Витамин-в12-дефицитная анемия вследствие избирательного нарушения всасывания витамина в12 с протеинурией
536_3,Витамин-В12-дефицитная анемия,https://cr.minzdrav.gov.ru/view-cr/536_3,"D51.3 Другие витамин-в12-дефицитные анемии, связанные с питанием"
536_3,Витамин-В12-дефицитная анемия,https://cr.minzdrav.gov.ru/view-cr/536_3,D51.8 Другие витамин-в12-дефицитные анемии
536_3,Витамин-В12-дефицитная анемия,https://cr.minzdrav.gov.ru/view-cr/536_3,D51.9 Витамин-в12-дефицитная анемия неуточненная
540_3,Фолиеводефицитная анемия,https://cr.minzdrav.gov.ru/view-cr/540_3,D52 Фолиеводефицитная анемия
536_3,Витамин-В12-дефицитная анемия,https://cr.minzdrav.gov.ru/view-cr/536_3,"D53.1 Другие мегалобластные анемии, не классифицированные в других рубриках"
669_2,Железодефицитная анемия,https://cr.minzdrav.gov.ru/view-cr/669_2,"D53.8 Другие уточненные анемии, связанные с питанием"
543_3,Серповидно-клеточные нарушения,https://cr.minzdrav.gov.ru/view-cr/543_3,D57 Серповидно-клеточные нарушения
669_2,Железодефицитная анемия,https://cr.minzdrav.gov.ru/view-cr/669_2,D62 Острая постгеморрагическая анемия
669_2,Железодефицитная анемия,https://cr.minzdrav.gov.ru/view-cr/669_2,E61.1 Недостаточность железа
483_3,Нарушение обмена серосодержащих аминокислот (гомоцистинурия),https://cr.minzdrav.gov.ru/view-cr/483_3,E72.1 Нарушение обмена серосодержащих аминокислот
717_2,ВИЧ-инфекция у беременных,https://cr.minzdrav.gov.ru/view-cr/717_2,"F02.4 Деменция при болезни, вызванной вирусом иммунодефицита человека [ВИЧ] (B22.0+)"
